region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
2,221,2011221005,5/2/2011,16:10,5/2/2011,16:19,5/2/2011,16:22,5/5/2011,14:00,0.1,5,47.16873014,-93.41432534
2,232,2011232014,5/2/2011,18:06,5/2/2011,18:20,5/2/2011,20:00,5/23/2011,8:00,0.5,7,46.79144882,-93.32418394
1,121,2011121021,5/2/2011,19:00,5/2/2011,19:30,5/2/2011,21:00,5/2/2011,21:00,5,7,48.27177393,-95.35486247
2,244,2011244020,5/3/2011,11:04,5/3/2011,11:09,5/3/2011,11:26,5/4/2011,8:00,0.25,2,45.85570863,-92.95282955
1,142,2011142002,5/3/2011,13:09,5/3/2011,13:32,5/3/2011,14:45,5/5/2011,8:00,19,5,46.53470587,-94.39499601
2,244,2011244021,5/3/2011,13:12,5/3/2011,13:20,5/3/2011,13:35,5/4/2011,8:00,1,2,46.32984499,-92.82184178
1,161,2011161010,5/3/2011,13:30,5/3/2011,13:40,5/3/2011,14:30,5/10/2011,8:00,0.5,5,46.85296838,-95.2709439
2,251,2011251011,5/3/2011,13:43,5/3/2011,14:18,5/3/2011,14:34,5/3/2011,14:34,0.01,5,46.99438401,-92.1197414
1,117,2011117005,5/3/2011,14:08,5/3/2011,14:31,5/3/2011,14:42,5/10/2011,8:00,0.5,5,47.87341322,-94.64714215
2,234,2011234009,5/3/2011,14:47,5/3/2011,14:59,5/3/2011,15:30,5/6/2011,8:00,0.1,3,47.52240285,-92.85988567
2,234,2011234010,5/3/2011,15:08,5/3/2011,15:28,5/3/2011,15:48,5/6/2011,8:00,0.2,5,47.55719032,-92.88559329
1,111,2011111026,5/3/2011,15:45,5/3/2011,15:55,5/3/2011,16:00,5/4/2011,8:00,1,7,47.43110149,-95.74994594
